Name,Pos X,Pos Y,TLF,ELW 1,DLK,RW,HLF,GW-Öl,GW-A,GW-S,Höh,Mess,GW-G,ELW 2,Dekon-P,FwK
Höhenkirchen,48.023349,11.714989,3,1,0,0,0,0,0,1,0,1,1,0,0,0
Siegertsbrunn,48.019204,11.733616,2,1,0,0,1,1,1,0,0,0,0,0,0,0
Hohenbrunn,48.045595,11.703658,3,0,1,0,0,0,0,0,1,0,0,1,0,0
Merck-Schuchardt,48.038199,11.718784,2,1,0,0,0,0,0,0,0,0,0,0,0,1
Brunnthal,48.00426,11.679346,3,0,1,1,1,1,1,0,0,0,0,0,0,0
Hofolding,47.98397,11.709166,2,1,0,0,1,0,0,0,1,0,0,0,1,0
Aying,47.97011,11.777037,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Großhelfendorf,47.945199,11.796547,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Sauerlach,47.97213,11.64892,3,1,0,1,0,0,0,0,0,1,0,1,0,0
Arget,47.940122,11.644565,2,1,0,0,0,0,0,1,0,0,0,0,0,1
Altkirchen,47.961124,11.594261,2,1,0,1,0,0,0,0,0,0,0,0,0,0
Oberbiberg,47.980766,11.569332,2,1,0,0,0,1,0,0,0,0,0,0,1,0
Oberhaching,48.026412,11.591035,2,0,1,0,1,0,0,0,0,0,1,0,0,0
Taufkirchen,48.041659,11.617905,2,1,0,0,0,0,1,1,0,0,0,0,0,1
Unterhaching,48.066146,11.616989,2,0,0,1,0,0,0,0,0,0,0,1,1,0
Unterbiberg,48.079359,11.627951,2,1,0,0,0,1,0,0,0,0,0,0,0,0
Uni-BW,48.080198,11.638586,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Neubiberg,48.077927,11.657672,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Ottobrunn,48.060384,11.668177,3,1,1,1,0,1,0,0,0,1,0,0,0,0
IABG,48.051106,11.656336,2,1,0,0,1,0,1,0,1,0,0,0,1,0
Harthausen,48.060297,11.771723,3,1,0,1,0,0,0,0,0,0,0,0,1,0
Grasbrunn,48.079301,11.743955,2,0,1,1,0,0,0,1,0,0,1,0,0,1
Putzbrunn,48.073409,11.721997,2,1,1,0,1,1,1,0,0,0,0,0,0,0
Haar,48.110683,11.742908,2,1,0,0,0,0,0,1,0,0,0,0,1,0
Isar-Amper,48.110892,11.746801,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Waldtrudering,48.113611,11.699524,2,1,0,0,1,0,0,0,0,1,0,0,0,0
Trudering,48.123214,11.667624,3,0,0,1,0,0,0,0,0,0,0,0,1,0
Michaeliburg,48.114942,11.652333,2,1,1,0,0,1,0,0,1,0,0,0,0,0
München 9,48.092209,11.656553,3,0,0,1,0,0,1,0,0,0,0,1,0,0
Waldperlach,48.08942,11.664694,2,0,0,0,0,0,0,1,0,1,1,0,0,0
Perlach,48.094972,11.633766,2,1,1,0,1,0,0,0,0,0,0,0,0,1
Heimstetten,48.156407,11.75969,2,1,1,1,0,0,0,0,1,0,0,0,0,0
Huber Group,48.154909,11.74762,3,1,0,0,1,0,0,0,0,0,0,0,0,0
Kirchheim,48.172963,11.757363,2,1,1,0,0,1,0,0,0,0,0,0,0,0
Aschheim,48.174239,11.712469,2,1,0,0,1,0,1,0,0,0,1,0,1,0
Feldkirchen,48.144987,11.726434,3,0,0,1,0,1,0,0,0,1,0,1,0,0
Dornach,48.152042,11.688899,2,1,0,1,1,0,0,1,1,0,0,0,0,0
München 10,48.135698,11.686819,2,1,0,0,0,0,1,0,0,0,0,0,0,0
Riem,48.141845,11.678342,3,0,1,0,0,1,0,0,0,0,0,0,0,1
München 5,48.121358,11.612399,2,1,0,0,1,0,1,1,0,0,1,0,1,0
Englschalking,48.156506,11.642065,3,0,1,0,0,1,0,0,1,0,0,0,0,0
Oberföhring,48.171011,11.623272,2,1,0,0,1,0,0,0,0,1,0,1,0,0
München 8,48.17532,11.642665,2,1,1,1,0,0,0,1,0,0,0,0,0,1
Unterföhring,48.190898,11.642605,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Freimann,48.193019,11.616873,3,1,1,1,0,1,1,0,1,0,0,0,0,0
Dingharting,47.981287,11.520495,3,0,1,0,0,0,0,0,0,0,0,0,0,0
Straßlach,48.004912,11.511467,2,0,1,0,1,0,0,0,0,0,0,0,0,0
Ebenhausen,47.976768,11.452313,2,1,0,1,0,0,0,0,0,0,0,0,0,0
